Block Type,96well,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150828_KBayRecov_Mcap_redos_2.eds,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-08-28 13:03:52 PM HST,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,NOISE,SPIKE,NOSIGNAL
E7,83_01.14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,N,Y,N,N,N
E8,83_01.14,C,UNKNOWN,VIC,NFQ-MGB,26.06944084,26.10192871,0.045946132,,,,FALSE,0.01,FALSE,3,20,,N,N,Y,N,N,N
E8,83_01.14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,N,Y,N,N,N
E9,137_10.24_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,27.1067009,27.16035461,0.075876467,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
E10,137_10.24_reex,Mcap,UNKNOWN,FAM,NFQ-MGB,27.21400642,27.16035461,0.075876467,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
E11,137_10.24_reex,C,UNKNOWN,VIC,NFQ-MGB,23.40348244,23.61395264,0.297649801,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N,N,N
E11,137_10.24_reex,D,UNKNOWN,FAM,NFQ-MGB,34.98199463,35.0494194,0.09535303,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
E12,137_10.24_reex,C,UNKNOWN,VIC,NFQ-MGB,23.82442284,23.61395264,0.297649801,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N,N,N
E12,137_10.24_reex,D,UNKNOWN,FAM,NFQ-MGB,35.11684418,35.0494194,0.09535303,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
F1,7_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,28.37295532,28.12246895,0.354241222,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
F2,7_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,27.87198257,28.12246895,0.354241222,,,,TRUE,0.01,TRUE,3,20,,N,N,N,N,N,N
